head	relation	tail
company	CapableOf	market new product
snake	CapableOf	surprise person
person	CapableOf	catch fish in net
student	CapableOf	fool professor
pets	CapableOf	learn to do tricks
parent	CapableOf	speak to child
cook	CapableOf	bread chicken cutlets
cook	CapableOf	forget to turn off stove
student	CapableOf	bone up on math
postman	CapableOf	ring doorbell
person	CapableOf	visit washington monument
rancher	CapableOf	fence land
child	CapableOf	laugh funny story
child	CapableOf	take bath
person	CapableOf	promise to pay on time
broker	CapableOf	trade commodities
dog	CapableOf	play fetch
adult	CapableOf	settle childrens argument
person	CapableOf	page person
parakeet	CapableOf	lay eggs
employee	CapableOf	butter up boss
person	CapableOf	free caged bird
person	CapableOf	learn to swim
student	CapableOf	study for exam
person	CapableOf	turn face away from
person	CapableOf	detest another person
cook	CapableOf	open can
person	CapableOf	captain boat
student	CapableOf	finish examination
person	CapableOf	leap
person	CapableOf	washing dishes
person	CapableOf	believe against all evidence
doctor	CapableOf	care about patients
teacher	CapableOf	point at picture
person	CapableOf	appear angry
diner	CapableOf	salt vegetables
student	CapableOf	failing class
student	CapableOf	picture science teacher naked
mom	CapableOf	mother baby
person	CapableOf	dare to do naughty
person	CapableOf	race against time
person	CapableOf	shine car
bat	CapableOf	hanging upside down
teacher	CapableOf	mark test
person	CapableOf	bicycle uphill
dog	CapableOf	follow it's owner
student	CapableOf	pass question
librarian	CapableOf	number books
person	CapableOf	taste food
librarian	CapableOf	put books on shelves
human	CapableOf	scream
criminal	CapableOf	deal drugs
baby	CapableOf	rest all night
boxer	CapableOf	train for fight
real estate agent	CapableOf	exaggerate
secretary	CapableOf	supply with office supplies
person	CapableOf	let himself go
fish	CapableOf	swim
dog	CapableOf	stand on hindlegs
human	CapableOf	meet another human
child	CapableOf	attend preschool before attending kindergarten
actor	CapableOf	wear costume
student	CapableOf	direct school play
child	CapableOf	sign name
interviewee	CapableOf	reply to interviewer's question
mechanic	CapableOf	oil squeeky axle
person	CapableOf	master new skills
worker	CapableOf	expect to paid
person	CapableOf	express love
mechanic	CapableOf	fix leaky radiator
person	CapableOf	wind clock
dog	CapableOf	guide blind
teacher	CapableOf	tell information
waitress	CapableOf	take curry to people
librarian	CapableOf	quiet patrons
teacher	CapableOf	mark essays
person	CapableOf	wave to friend
person	CapableOf	better themself
doctor	CapableOf	still patient
student	CapableOf	choose leader
child	CapableOf	follow mother
dog	CapableOf	chasing ball
person	CapableOf	pull fire alarm
preacher	CapableOf	report god loves everyone
vendor	CapableOf	price product
person	CapableOf	feel proud
dog	CapableOf	fight another dog
child	CapableOf	believe in imaginary friend
fish	CapableOf	breath in water
baby	CapableOf	crying when hungry
child	CapableOf	step on crack
enemy	CapableOf	side against
parent	CapableOf	feed child
policeman	CapableOf	wave on
child	CapableOf	touch puppy
person	CapableOf	talk to himself
cat	CapableOf	clean itself often
secretary	CapableOf	record minutes of meeting
contractor	CapableOf	shore up wall
dog	CapableOf	cover hole in ground
locksmith	CapableOf	machine duplicate key
person	CapableOf	come into house
person	CapableOf	bring skateboard somewhere
teacher	CapableOf	answer questions
plumber	CapableOf	hold wrench
person	CapableOf	trip on rock
kangaroo	CapableOf	jump high
fox	CapableOf	tail rabbit in woods
child	CapableOf	add two numbers
person	CapableOf	hurry up
cat	CapableOf	kill guinea pig
dog	CapableOf	run fasr
person	CapableOf	act responsibly
baby	CapableOf	crying loud
customer	CapableOf	push open store's door
fighter	CapableOf	box ear to cauliflower
person	CapableOf	lie to another person
child	CapableOf	complete homework
clerk	CapableOf	mind store
prisoner	CapableOf	receive pardon
walker	CapableOf	walk
person	CapableOf	hang picture
person	CapableOf	face accuser
child	CapableOf	play computer games
mechanic	CapableOf	service car engine
cook	CapableOf	stock up on canned goods
person	CapableOf	tear paper
driver	CapableOf	drive car
person	CapableOf	cross road
person	CapableOf	put up lights
person	CapableOf	slice piece of fruit
cook	CapableOf	decide when to serve dinner
guy	CapableOf	eye girl
chef	CapableOf	cook cke
bartender	CapableOf	shake martini
runner	CapableOf	enter marathon
child	CapableOf	watch television
child	CapableOf	walk dog
person	CapableOf	eat sushi in bed
person	CapableOf	write poem about rock
fish	CapableOf	attempt to fly
person	CapableOf	pull cart
teacher	CapableOf	forget to grade papers
dog	CapableOf	follow person
person	CapableOf	bicycle to school
person	CapableOf	gain weight from eating too much
person	CapableOf	board plane
person	CapableOf	play hide and seek
patient	CapableOf	will to survive
person	CapableOf	feel embarrassed
contractor	CapableOf	glass in porch
robber	CapableOf	bag what or steals
adult	CapableOf	hand toy to child
parent	CapableOf	separate children
baby	CapableOf	learn to speak
parent	CapableOf	call child
driver	CapableOf	own automobile
child	CapableOf	say shut up to another child
person	CapableOf	serve food in pan
person	CapableOf	voice thoughts
parent	CapableOf	teach morals to child
person	CapableOf	will succeed
person	CapableOf	senteced guilty by jury
baker	CapableOf	roll out dough
teacher	CapableOf	time test
child	CapableOf	see adults often act stupid
drunk	CapableOf	raise hell
judge	CapableOf	settle dispute
person	CapableOf	inspire love
person	CapableOf	train dog
soldier	CapableOf	dig trench
student	CapableOf	ask questions
chicken	CapableOf	fight for chicks
person	CapableOf	sing to radio
person	CapableOf	make purchase with cash
cook	CapableOf	cut string beans
priest	CapableOf	guide to spiritual enlightenment
librarian	CapableOf	answer question
thief	CapableOf	take jewelry
leader	CapableOf	see whether dancing allowed
artist	CapableOf	sign painting
professor	CapableOf	speak many languages
person	CapableOf	raise flowers in garden
baby	CapableOf	need milk
person	CapableOf	voice complaint
pilot	CapableOf	fly jet
teacher	CapableOf	agree with student
human	CapableOf	obtain food in restaurant
aunt	CapableOf	visit niece
cook	CapableOf	bone fish to cook
criminal	CapableOf	receive jail sentence
speaker	CapableOf	step up to podium
person	CapableOf	go into mountains
artist	CapableOf	letter poster
kangaroo	CapableOf	jump far
person	CapableOf	feed horse
person	CapableOf	use old paper for notepads
child	CapableOf	say evening prayers
person	CapableOf	laugh about joke
human	CapableOf	drink fluids
child	CapableOf	corner cat and frighten
teacher	CapableOf	teach students to math
person	CapableOf	gain knowledge
child	CapableOf	growing up during school years
bird	CapableOf	sing notes
cat	CapableOf	eye mouse
bird	CapableOf	listen to insect
child	CapableOf	master english
person	CapableOf	turn situation
baker	CapableOf	roll dough
frog	CapableOf	spring out of pond
soldier	CapableOf	shoot enemy
person	CapableOf	write poem about tree
teacher	CapableOf	answer question
singer	CapableOf	star on broadway
person	CapableOf	plant tree
person	CapableOf	win contest
person	CapableOf	promise to repay debt
clerk	CapableOf	close account
teacher	CapableOf	teach child
human	CapableOf	stand
driver	CapableOf	forget keys
child	CapableOf	position block
person	CapableOf	fast to improve health
chef	CapableOf	prepare food
teacher	CapableOf	teach pupils
student	CapableOf	solve equation
grasshopper	CapableOf	jump from one weed to another
artist	CapableOf	paint landscape
person	CapableOf	learn how to ride bike
child	CapableOf	experience wonder
person	CapableOf	use figurative language
tiger	CapableOf	jump though hoops
student	CapableOf	come to dance
person	CapableOf	follow story
dog	CapableOf	live in house
cat	CapableOf	sleep
human	CapableOf	stand on two legs
human	CapableOf	train animal
frog	CapableOf	leap
singer	CapableOf	sing loud
cat	CapableOf	act finicky
grandma	CapableOf	serve boiled turnips
student	CapableOf	wash dishes
person	CapableOf	bring home
surgeon	CapableOf	attempt surgery
parent	CapableOf	read child's book
pig	CapableOf	find truffles
company	CapableOf	bottle liquid
cook	CapableOf	thin soup with strainer
seed	CapableOf	grow
person	CapableOf	further cause
scientist	CapableOf	prove world round
delivery person	CapableOf	place package on step.s
animal	CapableOf	hear other voices
cook	CapableOf	warm food
person	CapableOf	sense joy
person	CapableOf	like another person
student	CapableOf	circle answer
child	CapableOf	choose shirt to wear
person	CapableOf	learn how to diagram sentence
teacher	CapableOf	explain world
horse	CapableOf	haul cart
person	CapableOf	guage own success
student	CapableOf	learn to read
student	CapableOf	help to clean classroom
shopper	CapableOf	enter store
policeman	CapableOf	stop traffic
dog	CapableOf	run away from master
animal	CapableOf	scape trap
police officer	CapableOf	stop traffic with single command
mosquito	CapableOf	draw blood from human being
reporter	CapableOf	doubt source
person	CapableOf	send letter in mail
guide	CapableOf	point in right direction
person	CapableOf	press doorbell
worker	CapableOf	labor at job
teacher	CapableOf	cut out noise
teacher	CapableOf	mark exams with pencil
child	CapableOf	smell flower
person	CapableOf	sun himself
student	CapableOf	experience acute embarassment
person	CapableOf	feel hot
kid	CapableOf	buy ice cream from truck
horse	CapableOf	finish race
worker	CapableOf	keep busy
person	CapableOf	weather storm
dog	CapableOf	hear sub sonic sounds
salesman	CapableOf	price out new car
animal	CapableOf	live long
clerk	CapableOf	price item
person	CapableOf	hear noises
judge	CapableOf	question witness
person	CapableOf	call for help from attacker
singer	CapableOf	carry tune
mechanic	CapableOf	true set of wheels
person	CapableOf	wonder what happened
person	CapableOf	consider fact
person	CapableOf	wish luck
cat	CapableOf	live long life
accountant	CapableOf	add figures
baby	CapableOf	shake rattle
criminal	CapableOf	appeal to higher court
policeman	CapableOf	book robber
company	CapableOf	mail bill
stranger	CapableOf	trip in dark
dog	CapableOf	long for dead owner
cow	CapableOf	pet
judge	CapableOf	right wrongs
doctor	CapableOf	help sick person
person	CapableOf	prepare report
person	CapableOf	running shop
dog	CapableOf	bite
student	CapableOf	learn calculus
person	CapableOf	feel up to task
actor	CapableOf	put on costume
person	CapableOf	learn how to do times tables
baby	CapableOf	arrive early
baby	CapableOf	wet diapers
person	CapableOf	breaking wind
supervisor	CapableOf	fire employee
student	CapableOf	answer question
company	CapableOf	branch out
person	CapableOf	run to safety
waitress	CapableOf	keep change
strong person	CapableOf	shoulder most of burden
bat	CapableOf	fly
dog	CapableOf	tear rug
lawyer	CapableOf	object to question
person	CapableOf	arm weapon
politician	CapableOf	play ball with opposition
dog	CapableOf	circle sheep
teacher	CapableOf	point to example
friend	CapableOf	talk
therapist	CapableOf	offer solace
friend	CapableOf	lend clothes
parrot	CapableOf	lay egg
person	CapableOf	try new
child	CapableOf	ask question
child	CapableOf	drive bike
employee	CapableOf	ask for raise
fish	CapableOf	school together
student	CapableOf	receive scholarship from university
customer	CapableOf	demand better service
person	CapableOf	judge
parent	CapableOf	give scolding
person	CapableOf	meet friend for coffee
runner	CapableOf	near finish line
cow	CapableOf	supply humans with milk
locksmith	CapableOf	fix broken lock
child	CapableOf	rush to school
runner	CapableOf	leading race
dog	CapableOf	roll over
bartender	CapableOf	serve berry martini
robber	CapableOf	case joint
person	CapableOf	build own web pages
person	CapableOf	hold breath
artist	CapableOf	paint masterpiece
person	CapableOf	pay grocer
prisoner	CapableOf	count days
person	CapableOf	bug another person
child	CapableOf	experience new sensation
child	CapableOf	read simple book
person	CapableOf	go to mountains
salesman	CapableOf	book appointments
doctor	CapableOf	examine ultrasound
pitcher	CapableOf	throw fast ball
dog	CapableOf	act playful
human	CapableOf	master new skills
guide	CapableOf	point out best views
soldier	CapableOf	fire gun
child	CapableOf	read picture book
chef	CapableOf	cook dinner
fly	CapableOf	fly around
person	CapableOf	analyze mushroom cloud
person	CapableOf	voice opinions
person	CapableOf	hand knife to
dog	CapableOf	guard home
rooster	CapableOf	father chicks
student	CapableOf	surprise teacher
child	CapableOf	pass peas
waiter	CapableOf	serve customers
cat	CapableOf	hunt lizards
postman	CapableOf	ring bell
cat	CapableOf	walk on top of car
person	CapableOf	mail letter to another person
dog	CapableOf	stay in house
nurse	CapableOf	page doctor
plumber	CapableOf	install six litre toilet
pets	CapableOf	visit veterinarians
person	CapableOf	chair board
soldier	CapableOf	guard president
student	CapableOf	study classics
child	CapableOf	break toy
person	CapableOf	train himself to use less sleep
human	CapableOf	smile
human	CapableOf	need companionship
doctor	CapableOf	charge fee for services
child	CapableOf	trade toys with another child
mechanic	CapableOf	explain why car broke down
dog	CapableOf	cause accident
librarian	CapableOf	shelve books
child	CapableOf	ask questions
batter	CapableOf	step up to plate
child	CapableOf	color with crayons
